date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-09-23,0,406,271056,667.62561576,,,,,,0,,0,,,0,,0,,,,,,0,0,0,31112484745,,,,,,0,,,,
2017-09-24,8,4320,2876663,665.89421296,,0.1398796,,0.170894,,0.699398,,0,0,,0,,1,,,,,,0.300602,5,9,0.300602,,0.31199111,,0.558212,,2.80792,,,,
2017-09-25,16,4320,2742565,634.85300926,,0.065079625,,0,,0.520637,,0,0,,0,,1.0671082,,,,,,4.779965,8,11,4.479363,,0.64887045,,1,,7.137575,,,,
2017-09-26,4,4320,2863442,662.8337963,,0.178761,,0.178761,,0.178761,,0,0,,0,,4.18062479,,,,,,4.601204,1,2,1.100602,,0.550301,,1.100602,,1.100602,,,,
2017-09-27,12,4320,2741944,634.70925926,,0.1139295,,0.170806,,0.683577,,0,0,,0,,1,,,,,,2463071705.917627,6,9,2463071702.646423,,547349267.147281,,0.964553,,4926143404.325529,,,,
2017-09-28,65,4306,2888367,670.77728751,,0.062388138888888896,,0,,2.245973,,0,0,,0,,1.69880637,,,,,,5987753239.671654,36,48,3524682600.88322,,113938314.34929292,,749991.5,,5469039088.76606,,,,
2017-09-29,4747,4320,3556882,823.35231481,,0.03926250824286273,,0,,97.645858,,0,0,,0,,2.47417194,,,,,,9990992137.025796,2487,3035,4038115532.654631,,2345286.61214637,,825277,,7117944867.86424,,,,
2017-09-30,4976,4319,3489211,807.87473952,,0.05781594224683484,,0,,146.158702,,0,0,,0,,2.96046598,,,,,,14004021378.867094,2528,3351,4730343619.374466,,2720713.2797026,,791085,,9117110200.283407,,,,
2017-10-01,5973,4316,3869136,896.46339203,,0.09404741117570835,,0.17107,,291.170785,,0,0,,0,,3.75698265,,,,,,16950977122.696309,3096,4757,4511859298.150883,,4228024.03408753,,833347,,20112710330.154371,,,,
2017-10-02,5858,4314,3706416,859.15994437,,0.10739877777777493,,0.17107,,316.074603,,0,0,,0,,4.80023257,,,,,,19348712430.621706,2943,4735,4030786453.433312,,8798568.94591527,,983735,,41661223958.908822,,,,
2017-10-03,3701,4320,3469263,803.07013889,,0.10081912776548539,,0.17107,,182.280983,,0,0,,0,,6.98295223,,,,,,20981546209.340723,1808,2826,3004681330.555373,,8306338.37602407,,817787.153662,,23473712250.644016,,,,
2017-10-04,1769,4319,3130826,724.89604075,,0.06978899185098932,,0,,59.948744,,0,0,,0,,14.90926123,,,,,,21803336238.391979,859,1194,1462402188.016067,,8344874.6490089,,770521.657508,,9963780330.916623,,,,
