date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2019-04-18,18,165864,4393534538.30302,0.000625,0.0137297954321969375,0.000625,0.0137297954321969375,0.00625,0.137297954321969375,0,0,1879610.92053945,,0.004161724534409328,21.9676726915151,,,200000000,10,10,106.405,2337.4702127406642155,10.639875,233.7332914786342246125,1,21.9676726915151,106.39875,2337.332914786342246125,,,
2019-04-19,29,218479,4865168460.76078,0.000625,0.0152036514398774375,0.000625,0.0152036514398774375,0.0175,0.42570224031656825,0,0,20133748.49122722,,0.004598500306755016,24.3258423038039,,,200000000,28,28,9.93357,241.642457333797306923,0.354145357142857,8.614884110481451477486813742,0.1,2.43258423038039,9.91607,241.216755093480738673,,,
2019-04-20,9,219207,4986854146.27792,0.000625,0.0155839192071185,0.000625,0.0155839192071185,0.004375,0.1090874344498295,0,0,95234.25979166,,0.004692208541788438,24.9342707313896,,,200000000,7,7,2100.084575,52364.07735186526727542,300.011457142857,7480.566894918684644521324087,0.01,0.249342707313896,2100.0802,52363.96826443081744592,,,
2019-04-21,12,219685,4839555146.92434,0.000625,0.0151236098341385625,0.000625,0.0151236098341385625,0.0075,0.18148331800966275,0,0,3072197092.50339363,,0.004569296063541112,24.1977757346217,,,200000000,12,12,0.06509999,1.575274958346115323783,0.00479999916666667,0.1161493033613711284745024487,0.00375,0.090741659004831375,0.05759999,1.393791640336452573783,,,
2019-04-22,36,219413,4776442486.72908,0.000625,0.014926382771028375,0.000625,0.014926382771028375,0.036875,0.880656583490674125,0,0,399.99278402,,0.004435939771732448,23.8822124336454,,,200000000,59,59,500009.02013182,11941321.63752700472451113663,8474.7451929122,202395.6650181443268648881339,0.0091,0.21732813314617314,500009.96638182,11941344.23607052006147088663,,,
2019-04-23,289,221448,4559480128.34512,3.11139226100154,70.93165592761657352256985742,0.000625,0.0142483754010785,2050.4075,46743.961256298983182,0,0,538.82038492,,0.004111445463373823,22.7974006417256,,,200000000,692,635,371181.20545516,8461966.651439946363435824096,581.315656249386,13252.48591482489069243098048,1,22.7974006417256,369135.44171836,8415328.555913803081979602016,,,
2019-04-24,390,219518,4612294509.7463,0.000624999999999989,0.01441342034295693382380196395,0.000625,0.0144134203429571875,0.658125,15.1773316211339184375,0,0,1016.9629082,,0.0042455253419053235,23.0614725487315,,,200000000,1053,1034,196664.00651149,4535361.587488279602339674935,198.508810961896,4577.905494679095273249634924,8.914062,205.571396110690612353,205258.1105346,4733554.2814981738120168599,,,
2019-04-25,487,221595,4384902823.78848,0.461836107814429,10.12553226641485308261293989,0.0001,0.00219245141189424,4411.92033795,96729.20974103389990458408,0,0,40.02877756,,0.004275723784110205,21.9245141189424,,,200000000,17740,1601,4996405.39121284,109543760.5436058361635541004,3127.04064865043,68558.84685184315328905890523,14.99,328.648466642946576,5006392.07848934,109762713.809800922837270474,,,
2019-04-26,460,219697,4476001556.75554,0.00185800359823399,0.04158213499076367065349074402,0.0001,0.00223800077837777,11.78345882,263.713900111423991984314,0,0,179.57357833,,0.004345493641145521,22.3800077837777,,,200000000,10883,1982,1113749.59422517,24925724.58793855951392702471,674.572410778431,15096.93580394297383239085879,32.819982195,734.5114569875455238380515,1337002.51816285,29922126.76341496871983679844,,,
2019-04-27,715,219569,4382876227.44826,0.000416041635044654,0.00911729495932959461682787301,0.000625,0.0136964882107758125,1.49109322,32.676385134236391933986,0,0,762.3706573,,0.004229099599367966,21.9143811372413,,,200000000,5034,2124,262339.58257053,5749009.599835379145366878889,144.161354093974,3159.206858876147685711313926,11.25614917,246.671543049022315084721,306198.7160956,6710155.36825292067889106828,,,
2019-04-28,550,219380,4211419865.7822343401176,0.00106717070504089,0.02386200611889008884598401473,0.000625,0.01397504050088675,3.13321319,70.058849965060114873972,0,0,789.47299637,,0.004342882039742849,22.3600648014188,,,188345602,4464,1480,238571.30372604,5334469.811073220813118505552,171.187734397777,3827.768834342363853513166008,11.69572,261.517057099249887536,253357.84690871,5665097.874826699397602077748,,,
2019-04-29,491,218889,4023384418.0488898305588,0.63302114798162,13.52241515618012867145216623,0.0001,0.00213617115309594,2000.97984877,42744.354308687505385009938,0,0,859.04290066,,0.004148871481589718,21.3617115309594,,,188345602,5246,1210,219250.51921666,4683566.344519361438226263604,184.286333469207,3936.671494667388380187067196,9.778774045,208.891350275722994668773,222986.46349774,4763372.508547529900021931756,,,
2019-04-30,472,215271,4106539487.3865703377852,1.08392506109796,23.6330501880615911177421703,0.0001,0.00218032141116126,3011.14381973,65652.613422432202913996598,0,0,416.27593963,,0.004139888876168855,21.8032141116126,,,188345602,4382,1193,452453.73097828,9864945.572117405486106374328,391.340700254417,8532.485078235461337454142854,10.84721905,236.50423946271302094003,466869.45540352,10179254.69833491669145091635,,,
2019-05-01,467,219291,4070088523.9260017249416,0.000633563093922663,0.01369109684736722572225749062,0.0001,0.00216096817802308,1.60544888,34.693239411227944001504,0,0,1983.87239732,,0.00406565737580363,21.6096817802308,,,188345602,3912,1158,94938.36511583,2051587.858888450915246133564,91.3547602970207,1974.147299127880287749398378,9.165,198.052733515815282,105788.81242395,2286062.57239008600853844766,,,
2019-05-02,544,219969,4355303634.2015362358598,0.278084148197212,6.430417744806995837090758799,0.0001,0.00231239996472099,1001.10293351,23149.503881306035976713749,0,0,292.26196084,,0.004287677530683798,23.1239996472099,,,188345602,6023,1239,644441.04001529,14902054.38196114700890183937,529.763343216094,12250.24736163369482645987613,6.75226859,156.139456493026488907041,656376.78224474,15178056.48106413711419995093,,,
2019-05-03,621,219872,4392674265.9277536930312,0.853973323508221,19.91672012582146095063820347,0.0001,0.00233224148548356,3011.10993869,70226.355163646768766029364,0,0,974.68870614,,0.004121711014201686,23.3224148548356,,,188345602,5758,1304,193236.67219393,4506745.834074710363921467908,160.167789390345,3735.499630543562036999202282,6.60037574,153.936701206072515928344,208858.79736501,4871091.518228807694936742356,,,
2019-05-04,506,219736,4264730098.389150059432,0.000318636507503401,0.007214921344408957836432259316,0.0001,0.0022643109544916,0.93424224,21.15414938180770445184,0,0,1245.51710506,,0.0039210800233781444,22.643109544916,,,188345602,4890,1058,151218.79999525,3424063.853543188850461649,157.318931373686,3562.189796583494638197480376,5.522917395,125.05602358250711021382,166443.42939336,3768796.80478534212755215776,,,
2019-05-05,418,219256,4283716364.3161997017202,0.0047923089546598,0.10899586756443214413353635,0.0001,0.00227439150095801,11.41527993,259.628156538485473257393,0,0,1726.00692573,,0.003970411767971952,22.7439150095801,,,188345602,3901,930,109122.15889284,2481865.107520648263009296484,154.091370059591,3504.641024345093373072887739,5.2551889,119.52356970088873518089,143304.97415542,3259316.152640945252206339142,,,
2019-05-06,415,222110,4139282216.8836965219752,0.31794755863809,6.987551933239366369417142484,0.0001,0.00219770579877076,1001.53480971,22010.788589704366685120796,0,0,537.52050504,,0.0038612546125866894,21.9770579877076,,,188345602,5146,1157,350397.05506068,7700696.397790537119812097168,310.895191819533,6832.561658717354217991572551,6.18976,136.032714449992994176,359705.7369352,7905273.83913598584089774752,,,
2019-05-07,415,222460,3944465324.6770392512526,0.0069371804407893,0.1452832846063545061788560866,0.0001,0.00209426993929863,21.08902854,441.661185203328756529002,0,0,237.74196348,,0.003594853495557024,20.9426993929863,,,188345602,5023,1153,792226.99787669,16591371.86753951444197825935,708.113813885958,14829.81474023466641857325638,15.07111975,315.629930439948837409425,816455.22741051,17098776.39549057930220490601,,,
2019-05-08,197,222574,3860150922.5296470359222,0.000205285990795185,0.004207344893301230402245292504,0.0001,0.00204950414638811,0.80287351,16.454925877701756979661,0,0,1866.91698426,,0.003455113019349898,20.4950414638811,,,188345602,7615,421,100885.9009738,2067660.72357903364401741518,246.078650530333,5043.392145995081673179455406,40.393,827.8562098505492723,103599.11187327,2123268.093463925428865548197,,,
2019-05-09,137,223652,3513281741.0966971217908,0.000184041309045218,0.003432992136849039924169940037,0.0001,0.00186533781717754,0.73248441,13.663308704659782521514,0,0,5734.66850385,,0.0030330003581691537,18.6533781717754,,,188345602,7841,248,32843.32858536,612639.028522601251161648144,132.240005649032,2466.722834809109096460731413,5.13737707,95.829437297717461150078,32795.52140096,611747.263032660249738464384,,,
2019-05-10,113,224047,3669694979.2749127956656,0.000172894288554379,0.003368644109105943641753526471,0.0001,0.00194838368419928,0.60876079,11.860995908162642102312,0,0,2820.40277507,,0.0030647186353009886,19.4838368419928,,,188345602,6869,192,66779.68255624,1301124.439285852835279675072,347.728912385781,6775.093394168166316574424377,4.129766065,80.463688206058632414332,66763.95117807,1300817.931680288868006457896,,,
2019-05-11,121,230352,4060420984.0822285482994,0.000238318749670265,0.00513775974477696427261770627,0.0001,0.00215583530539897,0.90346638,19.477247192450018816286,0,0,11828.54086454,,0.002943086578690365,21.5583530539897,,,188345602,7391,224,15922.97851079,343273.192406701961773998863,84.0540187964732,1812.066212821055659255549126,0.8118666,17.50250679554223417402,18828.10021041,405902.831671916536659972777,,,
2019-05-12,92,230321,3917087197.0282550042658,0.000209987984886643,0.004367191154955834875392576695,0.0001,0.00207973382730129,0.58355661,12.136424219622662410269,0,0,64873.82263817,,0.0029956023465809506,20.7973382730129,,,188345602,5511,119,2903.26042679,60380.089190603433593175591,23.3581181779832,485.7866851685283510355095833,0.513,10.6690345340556177,2779.61606318,57808.615535054857135355022,,,
2019-05-13,119,230376,4414619589.4617154197368,0.000178850579826847,0.004192066418891931784214455495,0.0001,0.00234389311063484,0.88835083,20.821993902637419409172,0,0,6592.8533617,,0.003005412797611658,23.4389311063484,,,188345602,9996,157,28568.14669868,669606.822306415003449900112,187.807983938662,4402.018396760485449424401841,0.5875,13.770372024979685,29485.85347837,691116.888291397762529084108,,,
2019-05-14,145,230519,4441394742.1836560480278,0.0002937382411931,0.00692666813644689697194183209,0.0001,0.00235810907980939,1.14234802,26.937812382642786439078,0,0,17144.62474943,,0.002964102799532432,23.5810907980939,,,188345602,7609,211,10985.69404421,259054.648736595392850331319,50.82826574109,1198.585949550288823642908351,0.1475,3.47821089271885025,10724.76407137,252901.635355111177599561643,,,
2019-05-15,529,226602,5083532808.4194021667628,0.00522574736578679,0.1410452800617474118996008949,0.000625,0.016869032095913375,11.48619271,310.017525575737965946394,0,0,1963.50795605,,0.0032854256605330556,26.9904513534614,,,188345602,3147,1190,95923.01442924,2589005.454629778159619371336,102.736675248445,2772.909235509516663355717523,7.0065,189.1085974080272991,122256.64354565,3299761.99025633697509641291,,,
2019-05-16,990,227410,4954990185.0576443495034,1.57862610328346,41.53044597051615491224988728,0.000625,0.0164424803806198125,6014.56545351,158230.999147667007974325867,0,0,1.5758177,,0.0033461878674787083,26.3079686089917,,,188345602,4159,3278,119522456.44390356,3144393032.19579258951486364,36486.7453848972,959892.1522301483203053001532,17.815473425,468.6889156192258473955725,119603551.37169293,3146526475.010423784150849319,,,
