date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-06-20,3,,1000000000,,10,,,,,,1000000000,1,1,100000000,,100000000,,100000000,,100000000,,,,
2017-06-21,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-22,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-23,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-24,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-25,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-26,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-27,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-28,0,,0,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-06-29,1,891264607.004107,0,0,,,0.0003508303850593074,0.891264607004107,,,1000000000,1,0,0,0,,,,,0,0,,,
2017-06-30,0,949979534.183624,0,0,,,0.00038731800116890703,0.949979534183624,,,1000000000,0,0,0,0,,,,,0,0,,,
2017-07-01,7746,1283889348.89319,0,0,6.81211137,,0.0005322116276933827,1.28388934889319,,,1000000000,9775,9476,146797365.13857722,188471573.5470037752015783471,16964.82665836,21780.9602524876526722605684,613.5291573543971,787.7035503627244057094647457,160758697.414633544631014687,206396379.3525912082190188828,,,
2017-07-02,8274,2651021595.59374,0,0,27.63049779,,0.001052463721216286,2.65102159559374,,,1000000000,11613,11070,36191892.28623857,95945488.03622094451795043855,3967.7462104,10518.580889605623222962896,460.19174561887655,1219.978255749622620732849013,43922950.549112828143591778,116440690.4478940281592158149,,,
2017-07-03,12510,4174906090.71876,0,0,27.99164906,,0.0016359815090349077,4.17490609071876,,,1000000000,19247,18247,35724940.59766787,149148272.0917694885643080582,2325.36055791,9708.1619563356328265033916,306.7944,1280.837809158407542944,42430854.100165099970561016,177144831.2171783465655886737,,,
