date,AdrActCnt,CapMrktCurUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-12-18,42,,595342.026869323333333332,,0.21567628,,,,,,595296.083029333333333332,160,161,2760137.0754965264,,20777.01050308,,10000,,3345098.690996526294165105,,,,
2017-12-19,94,,1379831.75,,0.40990025,,,,,,1939733.3500496,584,594,4732208.220867598,,11487.09181227,,4000,,6823332.536490338443818453,,,,
2017-12-20,55,,2676383,,1.28001846,,,,,,4113864.6000496,508,509,3213910.3560928283,,7653.4759834,,4000,,3895619.275548399129943708,,,,
2017-12-21,59,,805355,,1.74665821,,,,,,4869436.888057399999998786,297,301,2787859.03837084,,12168.16939658,,4000,,3662618.98837084005744613,,,,
2017-12-22,106,,314551.190340898,,0.25602408,,,,,,4436534.950711275523253033,2118,2141,17328584.564447775,,9448.46548905,,4000,,20229164.612051301362682611,,,,
2017-12-23,121,5221412.778372229410869298165,819453.817,823551.086085,1.33706437,,0.00006740054750229994,1.005,,,5195435.600370377523253033,611,629,3885703.4332692875,3905131.9504356339375,6989.60846949,7024.55651183745,3790.45,3809.40225,4396463.727310999263369074,4418446.04594755425968591937,,,
2017-12-24,113,5882236.307622229410869298165,658880.035,662174.435175,1.17654448,,0.00007165087314535606,1.005,,,5852971.450370377523253033,729,740,4974713.299148868,4999586.86564461234,7494.4840986,7531.956519093,3624.79496,3642.9189348,5545918.232964037386889799,5573647.824128857573824247995,,,
2017-12-25,260,6002470.407222229410869298165,124316.455,124938.037275,1.96719109,,0.00007137306448937613,1.005,,,5972607.370370377523253033,726,729,3036109.4061306054,3051289.953161258427,5014.40424709,5039.47626832545,2841.314,2855.52057,3655500.696130604492067093,3673778.199611257514527428465,,,
2017-12-26,60,6270728.230925933186101828495,205450,208531.75,1.22347856,,0.00006453809442654694,1.015,,,6178057.370370377523253033,419,434,5049583.670500785,5125327.425558296775,12581.85071544,12770.5784761716,4000,4060,5460523.210500785300969852,5542431.05865829708048439978,,,
2017-12-27,70,6046865.773005354176485936645,180145.85426543939939321,182848.04207942099038410815,2.14532003,,0.0000659562000224533,1.015,,,5957503.224635816922646243,383,389,2776976.46589977,2818631.11288826655,10274.5843769,10428.7031425535,4000,4060,3996813.322614430040940329,4056765.522453646491554433935,,,
2017-12-28,56,6373624.6348893986149108673,36732.223,40405.4453,1.3994341,,0.00007697985786093632,1.1,,,5794204.213535816922646243,592,602,4140390.9022720167,4554429.99249921837,8411.12094355,9252.233037905,4000,4400,5063494.808017385470888374,5569844.2888191240179772114,,,
2017-12-29,48,6271235.5343393986149108673,6981,7679.1,5.75186436,,0.00007548855118674213,1.1,,,5701123.213035816922646243,274,293,991178.3129981194,1090296.14429793134,5505.21949829,6055.741448119,3044.8691,3349.35601,1613029.31299811928200338,1774332.244297931210203718,,,
