date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2013-01-01,0,4164,,,,,,0,,,,,,,,99999999999.99624,0,0,0,,,,,,0,,,,
2013-01-02,10,4703,,0.00001,,0.00001,,0.00018,,9940.35785288,,,,,,99999999999.99606,18,3,10060000,,3353333.33333333,,50000,,10060000,,,,
2013-01-03,8,4780,,0.00001,,0.00001,,0.0001,,2421307.50605317,,,,,,99999999999.99596,10,6,41300,,6883.33333333,,10000,,41300,,,,
2013-01-04,9,4024,,0.00001,,0.00001,,0.00019,,142628.3011564,,,,,,99999999999.99577,19,6,701123.123456,,116853.85390933,,10000,,701123.123456,,,,
2013-01-05,12,3201,,0.00001,,0.00001,,0.00025,,9344047.84152453,,,,,,99999999999.99552,25,5,10702,,2140.4,,200,,10702,,,,
2013-01-06,9,4360,,0.00001000000000000001,,0.00001,,0.00039,,9174311.92660506,,,,,,99999999999.99513,39,6,10900,,1825,,300,,10950,,,,
2013-01-07,9,2819,,0.00001,,0.00001,,0.00017,,8695652.17391261,,,,,,99999999999.99496,17,3,11500,,3833.33333333,,1000,,11500,,,,
2013-01-08,16,3327,,0.00001000000000000002,,0.00001,,0.00093,,552950.5441033,,,,,,99999999999.99403,93,15,180848,,12056.53333333,,200,,180848,,,,
2013-01-09,21,4324,,0.000010000000000000013,,0.00001,,0.00049,,104056.973274,,,,,,99999999999.99354,49,14,961012,,68643.71428571,,10000,,961012,,,,
2013-01-10,24,4447,,0.00001000000000000002,,0.00001,,0.00091,,139684.31345159,,,,,,99999999999.99263,91,23,715900,,31126.08695652,,10000,,715900,,,,
2013-01-11,14,4428,,0.00001,,0.00001,,0.00021,,3447562.57326044,,,,,,99999999999.99242,21,5,29006,,5801.2,,9000,,29006,,,,
2013-01-12,7,4472,,0.000010000000000000006,,0.00001,,0.00032,,9089256.49881768,,,,,,99999999999.9921,32,6,11002,,1833.66666667,,200,,11002,,,,
2013-01-13,6,4496,,0.00001,,0.00001,,0.00026,,22727272.72727087,,,,,,99999999999.99184,26,10,4400,,520,,200,,5200,,,,
2013-01-14,11,4330,,0.00001,,0.00001,,0.00016,,1424501.42450131,,,,,,99999999999.99168,16,4,70200,,17550,,10000,,70200,,,,
2013-01-15,22,4592,,0.000010000000000000018,,0.00001,,0.0008,,3016500.25640225,,,,,,99999999999.99088,80,15,33151,,2210.06666667,,100,,33151,,,,
2013-01-16,23,4589,,0.000010000000000000016,,0.00001,,0.00063,,4645086.80111082,,,,,,99999999999.99025,63,20,21528.123,,1076.40615,,22,,21528.123,,,,
2013-01-17,19,4489,,0.000010000000000000021,,0.00001,,0.0012,,1105703.94705244,,,,,,99999999999.98905,120,28,90440.12212,,3230.00436143,,40,,90440.12212,,,,
2013-01-18,21,5007,,0.00001000000000000002,,0.00001,,0.00089,,1694628.0291474,,,,,,99999999999.98816,89,13,59010,,4539.23076923,,1000,,59010,,,,
2013-01-19,14,4643,,0.000010000000000000006,,0.00001,,0.00033,,1960784.31372525,,,,,,99999999999.98783,33,6,51000,,8500,,10000,,51000,,,,
2013-01-20,6,4475,,0.00001,,0.00001,,0.00019,,98039215.68626239,,,,,,99999999999.98764,19,3,1020,,340,,10,,1020,,,,
2013-01-21,12,4626,,0.00001000000000000001,,0.00001,,0.00037,,4761678.015332,,,,,,99999999999.98727,37,4,21001,,5250.25,,5500,,21001,,,,
2013-01-22,27,4251,,0.000010000000000000014,,0.00001,,0.00054,,169198.15303294,,,,,,99999999999.98673,54,17,591023,,34766.05882353,,10000,,591023,,,,
2013-01-23,30,4529,,0.000010000000000000021,,0.00001,,0.00123,,990707.1667755,,,,,,99999999999.9855,123,12,100938,,8411.5,,5250,,100938,,,,
2013-01-24,19,4805,,0.000010000000000000013,,0.00001,,0.00046,,1652619.40175153,,,,,,99999999999.98504,46,9,60510,,6723.33333333,,10000,,60510,,,,
2013-01-25,19,4080,,0.000010000000000000011,,0.00001,,0.00044,,2226576.41610226,,,,,,99999999999.9846,44,13,44912,,3454.76923077,,1000,,44912,,,,
2013-01-26,36,4303,,0.000010000000000000013,,0.00001,,0.00046,,1.16536424,,,,,,99999999999.98414,46,29,85810081001.41422,,2958968310.39359345,,1000000000,,85810081001.41421,,,,
2013-01-27,16,4220,,0.000010000000000000004,,0.00001,,0.0003,,3310929.37787583,,,,,,99999999999.98384,30,8,30203,,3775.375,,100,,30203,,,,
2013-01-28,14,4250,,0.00001000000000000001,,0.00001,,0.0004,,7062146.8926542,,,,,,99999999999.98344,40,8,14160,,1770,,375,,14160,,,,
2013-01-29,12,4361,,0.000010000000000000018,,0.00001,,0.00076,,7137249.30411696,,,,,,99999999999.98268,76,5,14011,,2802.2,,2000,,14011,,,,
2013-01-30,20,4037,,0.000010000000000000016,,0.00001,,0.00064,,3173018.27715585,,,,,,99999999999.98204,64,16,31515.734,,1986.608375,,68,,31785.734,,,,
2013-01-31,25,4288,,0.000010000000000000014,,0.00001,,0.00056,,1073825.50335551,,,,,,99999999999.98148,56,14,93125,,6651.78571429,,250,,93125,,,,
